"id";"code_geo";"town_clean"
"1029743";"78311";"HOUILLES"
"1029768";"13114";"VENTABREN"
"1029784";"30004";"AIGUES-VIVES"
"1029792";"13100";"SAINT-REMY-DE-PROVENCE"
"1029800";"13055";"MARSEILLE"
"1029883";"75056";"PARIS"
"1029909";"75056";"PARIS"
"1029974";"77373";"PONTAULT-COMBAULT"
"1030089";"02668";"SAINS-RICHAUMONT"
"1030170";"76461";"NEUFBOSC"
"1030568";"85047";"CHALLANS"
"1030576";"91471";"ORSAY"
"1030600";"94017";"CHAMPIGNY-SUR-MARNE"
"1030626";"61147";"DORCEAU"
"1030782";"77384";"REAU"
"1030899";"89414";"THORIGNY-SUR-OREUSE"
"1031012";"92063";"RUEIL-MALMAISON"
"1031046";"37214";"SAINT-CYR-SUR-LOIRE"
"1031079";"75056";"PARIS"
"1031087";"35238";"RENNES"
"1031103";"47001";"AGEN"
"1031210";"72351";"TENNIE"
"1031301";"44162";"SAINT-HERBLAIN"
"1031343";"75056";"PARIS"
"1031517";"06027";"CAGNES-SUR-MER"
"1031590";"84103";"RUSTREL"
"1031632";"73043";"LA BIOLLE"
"1031673";"63308";"ROYAT"
"1031681";"56121";"LORIENT"
"1031715";"75056";"PARIS"
"1031731";"93048";"MONTREUIL"
"1031855";"63124";"COURNON-D'AUVERGNE"
"1031871";"78686";"VIROFLAY"
"1031988";"91249";"FORGES-LES-BAINS"
"1032044";"03098";"DESERTINES"
"1032077";"69081";"ECULLY"
"1032085";"69156";"POMMIERS"
"1032234";"31588";"VILLENEUVE-TOLOSANE"
"1032259";"38144";"DIEMOZ"
"1032572";"17051";"LE BOIS-PLAGE-EN-RE"
"1032754";"17415";"SAINTES"
"1032986";"24562";"VALLEREUIL"
"1033000";"06069";"GRASSE"
"1033042";"67523";"WEITBRUCH"
"1033182";"51454";"REIMS"
"1033240";"01160";"FERNEY-VOLTAIRE"
"1033356";"69044";"CHARBONNIERES-LES-BAINS"
"1033505";"66112";"MONTAURIOL"
"1033539";"92050";"NANTERRE"
"1033570";"17415";"SAINTES"
"1033596";"86041";"BUXEROLLES"
"1033604";"43157";"LE PUY-EN-VELAY"
"1033729";"87118";"PEYRILHAC"
"1033737";"83069";"HYERES"
"1033760";"78297";"GUYANCOURT"
"1033901";"59560";"SECLIN"
"1033927";"33009";"ARCACHON"
"1033935";"34032";"BEZIERS"
"1034008";"13042";"GEMENOS"
"1034040";"68082";"ENSISHEIM"
"1034156";"78686";"VIROFLAY"
"1034461";"71543";"TOURNUS"
"1034776";"87085";"LIMOGES"
"1035047";"46033";"LE BOULVE"
"1035435";"95306";"HERBLAY"
"1035476";"35126";"GUICHEN"
"1035708";"02455";"MALZY"
"1035906";"69112";"LENTILLY"
"1036086";"75056";"PARIS"
"1036110";"77186";"FONTAINEBLEAU"
"1036169";"13001";"AIX-EN-PROVENCE"
"1036409";"92040";"ISSY-LES-MOULINEAUX"
"1036417";"75056";"PARIS"
"1036532";"93071";"SEVRAN"
"1036789";"60172";"COYE-LA-FORET"
"1036979";"42094";"FEURS"
"1037027";"31555";"TOULOUSE"
"1037076";"92044";"LEVALLOIS-PERRET"
"1037258";"17385";"SAINT-PIERRE-D'OLERON"
"1037373";"83137";"TOULON"
"1037415";"71506";"SAVIGNY-EN-REVERMONT"
"1037498";"90057";"LACHAPELLE-SOUS-CHAUX"
"1037654";"50421";"QUINEVILLE"
"1037761";"60277";"GOINCOURT"
"1037787";"51454";"REIMS"
"1037811";"22113";"LANNION"
"1037878";"95176";"CORMEILLES-EN-PARISIS"
"1037951";"47096";"FERRENSAC"
"1037977";"75056";"PARIS"
"1038249";"64025";"ANGOUS"
"1038280";"52121";"CHAUMONT"
"1038397";"07159";"MIRABEL"
"1038413";"21689";"VILLARS-ET-VILLENOTTE"
"1038694";"37015";"AZAY-SUR-CHER"
"1038769";"59392";"MAUBEUGE"
"1038868";"49332";"LA SEGUINIERE"
"1038926";"58074";"CHIDDES"
"1039023";"27336";"LA HEUNIERE"
"1039155";"14174";"CONDE-SUR-NOIREAU"
"1039213";"25539";"SELONCOURT"
"1039551";"78586";"SARTROUVILLE"
"1039924";"62270";"DIVION"
"1039957";"75056";"PARIS"
"1040013";"76709";"LE TRAIT"
"1040187";"57326";"BOULAY"
"1040252";"78311";"HOUILLES"
"1040286";"75056";"PARIS"
"1040328";"13055";"MARSEILLE"
"1040336";"94067";"SAINT-MANDE"
"1040351";"89206";"JOIGNY"
"1040450";"94022";"CHOISY-LE-ROI"
"1040666";"57015";"ALTVILLER"
"1041037";"35238";"RENNES"
"1041086";"75056";"PARIS"
"1041581";"62826";"LE TOUQUET-PARIS-PLAGE"
"1041656";"67119";"ECKWERSHEIM"
"1041748";"69276";"FEYZIN"
"1041805";"92072";"SEVRES"
"1041987";"76114";"BOLBEC"
"1042001";"78650";"LE VESINET"
"1042258";"59155";"COUDEKERQUE-BRANCHE"
"1042332";"38367";"SAINT-MARIE-D'ALLOIX"
"1042514";"06010";"LE BAR-SUR-LOUP"
"1042522";"63455";"VEYRE-MONTON"
"1042613";"44198";"LES SORINIERES"
"1042696";"62341";"FONCQUEVILLERS"
"1042761";"67482";"STRASBOURG"
"1042993";"85191";"LA ROCHE-SUR-YON"
"1043017";"54299";"LANEUVEVILLE-DEVANT-BAYON"
"1043041";"26058";"BOURG-LES-VALENCE"
"1043462";"06088";"NICE"
"1043504";"26154";"LACHAU"
"1043538";"91377";"MASSY"
"1043652";"34017";"AUMES"
"1043728";"62718";"ROEUX"
"1043751";"43194";"SAINT-HOSTIEN"
"1043785";"74281";"THONON-LES-BAINS"
"1043876";"92071";"SCEAUX"
"1044106";"95203";"EAUBONNE"
"1044270";"59183";"DUNKERQUE"
"1044353";"06159";"VILLEFRANCHE-SUR-MER"
"1044395";"12202";"RODEZ"
"1044510";"13004";"ARLES"
"1044692";"34162";"MONTAGNAC"
"1044841";"88281";"MADONNE-ET-LAMEREY"
"1058130";"84138";"VALREAS"
"1044973";"89101";"CHEU"
"1045442";"83069";"HYERES"
"1045459";"67065";"BREUSCHWICKERSHEIM"
"1045756";"92051";"NEUILLY-SUR-SEINE"
"1045764";"49007";"ANGERS"
"1045871";"45234";"ORLEANS"
"1046077";"79162";"MAGNE"
"1046127";"64445";"PAU"
"1046135";"78311";"HOUILLES"
"1046226";"78005";"ACHERES"
"1046309";"58194";"NEVERS"
"1046440";"94078";"VILLENEUVE-SAINT-GEORGES"
"1046523";"29191";"PLOUGONVEN"
"1046671";"69123";"LYON"
"1047000";"64335";"LESCAR"
"1047083";"78545";"SAINT-CYR-L'ECOLE"
"1047133";"66136";"PERPIGNAN"
"1047307";"94080";"VINCENNES"
"1047729";"52121";"CHAUMONT"
"1047778";"81099";"GAILLAC"
"1047802";"31555";"TOULOUSE"
"1047836";"76231";"ELBEUF"
"1047885";"13047";"ISTRES"
"1047984";"91114";"BRUNOY"
"1048032";"13055";"MARSEILLE"
"1048040";"37122";"JOUE-LES-TOURS"
"1048180";"31555";"TOULOUSE"
"1048370";"33240";"LESPARRE-MEDOC"
"1048487";"28358";"SAINT-PREST"
"1048552";"64260";"HENDAYE"
"1048750";"06088";"NICE"
"1048826";"65010";"ANGOS"
"1048990";"72003";"ALLONNES"
"1049006";"92062";"PUTEAUX"
"1049097";"86078";"CIVRAY"
"1049170";"28227";"MAINTENON"
"1049196";"83132";"SOLLIES-VILLE"
